held_out_video,train_rows,test_rows,accuracy
cyclar_data_10,88020,3592,0.8923
cyclar_data_11,88020,3592,0.6977
cyclar_data_12,88020,3592,0.6868
cyclar_data_13,88560,3052,0.6199
cyclar_data_14,88018,3594,0.7922
cyclar_data_15,88020,3592,0.6988
cyclar_data_16,88020,3592,0.8831
cyclar_data_17,88020,3592,0.6492
cyclar_data_18,91142,470,0.9702
cyclar_data_19,88018,3594,0.5111
cyclar_data_20,88020,3592,0.5367
cyclar_data_21,88020,3592,0.7068
cyclar_data_23,88020,3592,0.8664
cyclar_data_24,88020,3592,0.8352
cyclar_data_25,91558,54,0.2222
cyclar_data_26,88020,3592,0.8742
cyclar_data_28,88020,3592,0.8692
cyclar_data_29,88020,3592,0.7366
cyclar_data_30,88024,3588,0.6101
cyclar_data_31,88020,3592,0.6913
cyclar_data_32,88020,3592,0.8327
cyclar_data_33,88020,3592,0.8987
cyclar_data_34,89432,2180,0.8225
cyclar_data_5,88022,3590,0.9003
cyclar_data_6,88020,3592,0.9301
cyclar_data_7,88020,3592,0.5732
cyclar_data_8,88020,3592,0.6899
cyclar_data_9,88370,3242,0.8094
