held_out_video,train_rows,test_rows,accuracy,macro_f1,medium_recall,medium_precision,high_recall,high_precision
cyclar_data_10,91558,3592,0.875,0.6222,0.35,0.0602,0.8667,0.7911
cyclar_data_11,91558,3592,0.6843,0.3803,0.1502,0.2153,0.7667,0.0539
cyclar_data_12,91558,3592,0.6843,0.5249,0.4448,0.1372,0.675,0.4463
cyclar_data_13,92098,3052,0.579,0.4921,0.2444,0.1526,0.9394,0.3827
cyclar_data_14,91556,3594,0.7841,0.5058,0.188,0.0455,0.8917,0.4045
cyclar_data_15,91558,3592,0.6829,0.5429,0.0873,0.112,0.9462,0.5205
cyclar_data_16,91558,3592,0.9026,0.5498,0.0788,0.5778,0.9889,0.3511
cyclar_data_17,91558,3592,0.674,0.31,0.0238,0.0602,0.0,0.0
cyclar_data_18,94680,470,0.9553,0.3257,0.0,0.0,0.0,0.0
cyclar_data_19,91556,3594,0.5214,0.31,0.3778,0.0306,0.8667,0.1083
cyclar_data_20,91558,3592,0.5977,0.3546,0.2636,0.088,0.5889,0.093
cyclar_data_21,91558,3592,0.7294,0.2825,0.0,0.0,0.0,0.0
cyclar_data_23,91558,3592,0.8466,0.6519,0.5121,0.3536,0.4596,0.8037
cyclar_data_24,91558,3592,0.875,0.7053,0.6792,0.319,0.82,0.6833
cyclar_data_25,91558,3592,0.7202,0.4445,0.7533,0.1054,0.1897,0.7857
cyclar_data_26,91558,3592,0.8995,0.7129,0.6067,0.6247,0.5267,0.6124
cyclar_data_28,91558,3592,0.9129,0.3207,0.0167,0.0047,0.0,0.0
cyclar_data_29,91558,3592,0.7091,0.6906,0.4466,0.6306,0.6792,0.8022
cyclar_data_30,91562,3588,0.5674,0.5122,0.2363,0.2582,0.4592,0.7986
cyclar_data_31,91558,3592,0.6514,0.5699,0.2133,0.3243,0.5438,0.8134
cyclar_data_32,91558,3592,0.8608,0.7068,0.3026,0.5566,0.7333,0.8848
cyclar_data_33,91558,3592,0.9193,0.3195,0.0,0.0,0.0,0.0
cyclar_data_34,92970,2180,0.8413,0.3046,0.0,0.0,0.0,0.0
cyclar_data_5,91560,3590,0.9139,0.725,0.5542,0.4463,0.6607,0.735
cyclar_data_6,91558,3592,0.9246,0.5606,0.3136,0.4277,0.4444,0.274
cyclar_data_7,91558,3592,0.5512,0.5551,0.4666,0.4579,0.4203,0.749
cyclar_data_8,91558,3592,0.6668,0.6213,0.5111,0.3108,0.6208,0.7413
cyclar_data_9,91908,3242,0.8004,0.682,0.3357,0.3422,0.8427,0.8084
